No.,Stn. ID,Station Name,Software/Program,Telemetry,IP Address,Port,Phone #,Logger,Datalogger Upgrade,Date of Upgrade,OS Version-2025,Update OS-2026,Update Date,Service Provider,Active Date,Rain,Wind,Forecast Region,Corporate ,Latitude,Longitude,Elevation,Modem ,Web Access- Real Time data Connect,Remarks ,Notes,Notes2,Notes3
19,CAA,Chinchaga Auto ,Loggernet,Cellular,96.1.98.182,6785,780-502-6241,CR850,,,std 32.02,,,Telus ,2018-10-04,TB3,RMY,Mackenzie,Peace River,57.1117,-118.3333,880,GX450,http://96.1.98.182:8000,,,,
20,CCA,Carrot Creek Auto,Loggernet,Cellular,96.1.97.135,6785,587-372-8719,CR1000X,,,std 32.04,,,Telus ,2020-09-28,TB3,RMY,Edson,Edson,53.4458,-115.8661,1056,GX450,http://96.1.97.135:8000,New Station September 2020,,,
21,CLA,Chain Lakes Auto,Loggernet,Cellular,68.182.39.123,6785,587-986-4702,CR1000X,,,std 8.01,,,Telus ,2024-07-17,TB4,RMY,Crow,Calgary,50.1803,114.1828,1315,RV55,http://68.182.39.123:8000,New station July 2024,,,
22,CNA,Canmore Auto,Loggernet,Cellular,68.182.39.122,6785,587-986-4702,CR1000X,,,std 8.01,,,Telus ,2024-06-26,TB4,RMY,Bow,Calgary,51.113,-115.3699,1316,RV55,http://68.182.39.122:8000,New Station June 2024,,,
23,CPA,COWPAR LAKE AUTO,Loggernet,Cellular,96.1.108.166,6785,780-201-4587,CR1000X,,,std 8.01,,,Telus ,2016-09-09,TB3/Pluvio,RMY,Lac La Biche,Lac La Biche,55.9534,-110.4972,553,RV55,http://96.1.108.166:8000,"New IP: 173.181.138.23  - Sep  25, 2023",Replaced new datalogger/ New IP:96.1.108.166 CR1000X on 10-12-2023,,
24,CRA,Christina Auto,Loggernet,Cellular/FIRENET,173.181.142.51,6785,N/A,CR1000X,,,std 8.01,,,FireNet,2024-10-03,TB3/Pluvio,RMY,Lac La Biche,Lac La Biche,55.5884,-111.8496,751,FireNet,http://173.181.142.51:8000,"Reinstalled -October 3, 2024",No FWI. Cliftom will give starting values and snow gone next spring 2025,,
25,CUA,Cadotte Auto,Loggernet,Cellular,96.1.98.181,6785,7805026240,CR850,,,std 32.02,,,Telus ,2018-10-16,TB3,RMY,Red Earth,Peace River,56.3035,-116.4302,730,GX450,http://96.1.98.181:8000,,,,
26,CYA,Chipewyan Lake Auto,Loggernet,Cellular,96.1.108.167,6785,587-645-2978,CR1000X,,,std 32.03,,,Telus ,2017-05-01,TB3/Pluvio,RMY,Red Earth,Slave Lake,56.9493,-113.4909,615,GX450,http://96.1.108.167:8000,"Damaged due to Wildfire- May 29, 2025","Replaced the modem GX400 to GX450 from old SRA/ Upgraded the Datalogger to CR1000X from CR850 by Jason & crews on Sep 23, 2025",,
27,DHA,Diamond Hills Auto,Loggernet,Cellular,96.1.108.9,6785,587-596-4615,CR1000X,,,std 8.01,,,Telus ,2022-06-01,TB3,RMY,Rocky Mountain,Rocky Mountain,52.6215,-115.0934,1007,RV55,http://96.1.108.9:8000,"New station in Rocky June 2, 2022",,,
28,DMA,Deer Mountain Auto,Loggernet,Cellular,68.182.38.10,6785,587-645-4434,CR850,,,std 30.01,,,Telus ,2017-09-01,TB3,RMY,Swan Hills,Slave Lake,54.9134,-115.1621,1161,GX400,http://68.182.38.10:8000,,,,
29,E1,Wildhay Auto,Loggernet,Cellular,68.182.39.153,6785,780-507-9047,CR1000X,,,std 7.02,,,Telus ,2002-06-05,TB3,RMY,Edson,Edson,53.8613,-117.5595,1041,RV55,http://68.182.39.153:8000,"Old IP: 173.181.138.16 -Replaced the modem October 21, 2024 by Jason Rand/FTS","Upgraded the data logger from AutoCaller to CS on May 5, 2025  by Tricia Hooper new IP 68.182.39.153",,
30,E5,Grande Cache,Loggernet,Cellular,68.182.39.158,6785,587-219-0095,CR1000X,,,std 8.01,,,Telus ,2004-04-07,TB3,RMY,Edson,Edson,53.9165,-118.8666,1250,GX450,http://68.182.39.158:8000,,,,
31,E7,Entrance Auto,Loggernet,Cellular,173.182.114.213,6785,587-873-0714,CR850,,,std 32.02,,,Telus ,2009-09-16,TB3,RMY,Edson,Edson,53.3799,-117.7012,1045,GX450,http://173.182.114.213:8000,,,,
32,EAA,Eagle AUTO,Loggernet,Cellular,96.1.97.133,6785,587-372-8665,CR850,,,std 32.03,,,Telus ,2014-08-27,TB3/Pluvio,RMY,Swan Hills,Whitecourt,54.4569,-116.4409,1048,GX450,http://96.1.97.133:8000,,,,
33,ECA,ECONOMY AUTO,Loggernet,Cellular,68.182.38.58,6785,587-645-4408,CR850,,,std 32.02,,,Telus ,2018-10-23,TB3,RMY,Grande Prairie,Grande Prairie,54.7916,-118.2348,857,GX450,http://68.182.38.58:8000,,,,
34,EHA,Enilda,Loggernet,Cellular,173.181.138.23,6785,587-785-3786,CR850,,,std 32.02,,,Telus ,2017-06-20,TB3,RMY,Swan Hills,Slave Lake,55.319,-116.197,717,RV55,http://173.181.138.23:8000,"Replaced the modem Dec. 4, 2024 OLD IP: 96.1.107.161/587-645-3917 ",New IP/Phone#: 173.181.138.23/587-785-3786,,
35,ELA,ELLS RIVER AUTO,Loggernet,Cellular,68.182.38.56,6785,587-645-4428,CR850,,,std 32.03,,,Telus ,2018-09-18,TB3,RMY,Fort McMurray,Fort McMurray,57.2061,-112.3133,570,GX450,http://68.182.38.56:8000,,,,
36,F1,Picadelly Auto,Loggernet,Inmarsat,8.34.42.127,6785,-1300,CR1000X,CR1000Xe,04-Jun-26,std 8.01,CR1000X 8.5.1,04-Jun-26,BGAN,1998-09-24,TB4-Kisters,RMY,Fort Vermilion,High Level,57.6509,-114.5273,367,BGAN/Hughes 9502,http://8.34.42.128:8000,Changed the logger to CS from FTS- July 2020,"Replaced the modem from F5 w/ IP:8.34.42.127/Tel: +872-772-872-526 (Old F1 IP:8.34.42.128/Tel: +872-772-872-525) on Oct 29, 2025 by Jason & Chase.","Upgraded the datalogger to CR1000Xe with new Config/Used the same IP# 8.34.42.127-June 4, 2026 by Jason & Chase",
37,F3,Lambert Auto,Loggernet,Inmarsat,8.34.42.126,6785,-1301,CR1000X,CR1000Xe,04-Jun-26,std 8.01,CR1000X 8.5.1,04-Jun-26,BGAN,1999-05-19,TB4-Kisters,RMY,Fort Vermilion,High Level,58.0347,-114.1414,368,BGAN/Hughes 9502,http://8.34.42.126:8000,"Changed the logger to CS from FTS - Sep 13, 2021","Upgraded the datalogger to CR1000Xe with new Config/Used the same IP# 8.34.42.126-June 4, 2026 by Jason & Chase",,
38,FGA,Foggy Mountain Auto,Loggernet,Cellular/FIRENET,68.182.37.134,6785,N/A,CR1000X,,,std 8.01,,,FireNet,2020-09-04,TB3,RMY,Fort Vermilion,High Level,58.686,-114.9947,899,FireNet,http://68.182.37.134:8000,Old IP: 8.34.42.121/ Old Phone # +870-772-821-546,"8.34.42.127 Old IP replaced May 30, 2024 new IP: 8.34.42.50","Old IP:9.1.66.108 replace new Aug 27, 2024/Upgrade to FireNet-2024",
39,FLA,Footner Lake Auto,Loggernet,Cellular,96.1.105.233,6785,N/A,CR1000X,,,std 32.03,,,Telus ,2020-07-28,TB3,RMY,High Level,High Level,58.6109,-117.16,330,RV55,http://96.1.105.233:8000,New Station July 2020,,,
40,FNA,Felton Creek Auto,Loggernet,Cellular,96.1.107.178,6785,587-989-3958,CR1000X,,,std 8.01,,,Telus ,2020-08-07,TB3,RMY,Edson,Edson,53.2701,-117.1998,1226,RV55,http://96.1.107.178:8000,"New Station Aug 7, 2020",Replaced new datalogger - Old IP 8.34.42.135,Replaced new modem to Cell: 96.1.107.178,
41,FOA,Fontas Auto,Loggernet,Cellular,173.182.113.31,6785,780-841-5549,CR1000X,,,std 8.01,,,Telus ,2018-10-09,TB3,RMY,Mackenzie,Peace River,57.7803,-119.5015,1050,RV55,http://173.182.113.31:8000,New Station Aug 2020,Replaced the datalogger again: 8/14/2023 Old IP: 96.1.107.246,,
42,FPA,Frying Pan Auto,Loggernet,Cellular,173.181.138.24,6785,N/A,CR850,,,std 32.03,,,Telus ,2019-10-23,TB3/Pluvio,RMY,Grande Prairie,Grande Prairie,54.4651,-118.2203,855,GX450,http://173.181.138.24:8000,,,,
43,FSA,Fish Creek Auto,Loggernet,Cellular,173.182.29.248,6785,N/A,CR1000X,,,std 8.01,,,Telus ,2020-08-01,TB3,RMY,Edson,Edson,53.492,-117.647,1373,RV55,http://173.182.29.248:8000,New Station Aug 2020,,,
44,FTA,Flat Top Auto,Loggernet,Cellular,96.1.97.141,6785,587-372-1788,CR850,,,std 32.03,,,Telus ,2017-08-29,TB3,RMY,Swan Hills,Slave Lake,55.1457,-114.8153,1038,GX450,http://96.1.97.141:8000,,,,
45,GFA,Grave Flats Auto,Loggernet,Inmarsat,8.34.42.51,6785,-1262,CR1000X,,,std 7.02,,,BGAN,2020-08-13,TB3,RMY,Edson,Edson,52.8879,-116.9918,2076,BGAN/Hughes 9502,http://8.34.42.51:8000,New Station Aug 2020,,,
46,GHA,Ghost Lake Auto  ,Loggernet,Cellular,68.182.39.126,6785,587-986-6037,CR1000X,,,std 8.01,,,Telus ,2024-06-26,TB4,RMY,Bow,Calgary,51.2053,-114.7712,1225,RV55,http://68.182.39.126:8000,New Station June 2024,,,
47,GTA,Gift Lake Auto,Loggernet,Cellular,96.1.108.120,6785,587-783-7834,CR850,,,std 32.03,,,Telus ,2017-04-25,TB3,RMY,Red Earth,Slave Lake,55.9012,-115.76,691,RV55,http://96.1.108.120:8000,"173.182.29.239 Old IP Replaced New Modem March 28, 2023",,,
48,HHA,Hawk Hills Auto,Loggernet,Cellular,96.1.98.166,6785,780-502-6237,CR850,,,std 32.02,,,Telus ,2019-08-23,TB3,RMY,Mackenzie,Peace River,57.6568,-117.4232,730,GX450,http://96.1.98.166:8000,,,,
49,HKA,Hotchkiss Auto,Loggernet,Cellular,96.1.98.150,6785,780-926-6287,CR850,,,std 32.02,,,Telus ,2018-10-13,TB3,RMY,Mackenzie,Peace River,57.3339,-118.9593,990,GX450,http://96.1.98.150:8000,,,,
50,HLA,Heart Lake Auto,Loggernet,Cellular,68.182.39.159,6785,780-773-5544,CR1000X,,,std 8.01,,,Telus ,2016-08-24,TB3/Pluvio,RMY,Lac La Biche,Lac La Biche,54.915,-111.34,866,RV55,http://68.182.39.159:8000,"Old IP: 96.1.98.150/ Upgrade from CR850 to CR1000X by Clifton McKay on Oct. 13, 2023 - New IP: 68.182.39.159",,,
51,HRA,Horse River Auto,Loggernet,Inmarsat*NEW,8.34.42.128,6785,8.70773E+11,CR1000Xe,CR1000Xe,07-May-26,5.00 Beta ,CR1000X 8.4.0,07-May-26,BGAN,5-6-2026,TB4-Kisters,RMY,Fort McMurray,Fort McMurray,56.5187,-111.7957,464,NEW BGAN/Hughes 9502,http://8.34.42.128:8000,"New station set up in Fort McMurray by Dylan Eaton & Tricia- May 6, 2026 w/CR1000Xe with new Configuration",,,
52,HUA,Huckleberry Auto,Loggernet,Cellular,96.1.97.131,6785,587-372-7608,CR1000X,,,std 8.01,,,Telus ,2020-09-02,TB3,RMY,Edson,Edson,53.9877,-118.1859,1431,GX450,http://96.1.97.131:8000,New Station Sep 2020,,,
53,IMA,Imperial AUTO,Loggernet,Cellular,96.1.64.164 ,6785,587-987-2616,CR850,CR1000Xe,11-Jun-26,std 32.03,CR1000X 8.4.0,11-Jun-26,Telus ,2014-08-06,TB4-Kisters,RMY,Swan Hills,Whitecourt,54.4666,-115.5722,1202,RV55,http://96.1.64.164:8000 ,"Replaced the data logger to CR1000Xe with new Configuration by Tricia, Charlene & Devin- June 11, 2026",,,
54,KAA,Kakwa Tower Auto,Loggernet,Cellular/FIRENET,216.13.164.5,6786,N/A,CR1000X,,,std 8.01,,,FireNet,2020-09-02,TB3/Pluvio,RMY,Grande Prairie,Grande Prairie,54.4209,-118.9822,1226,FireNet,http://216.13.164.5:8001,New Station Sep 2020  Phone # 1-403-819-1615,"Move to FireNet Nov. 1, 2022/New IP 216.13.164.5:6786 Web interface 8001",Replaced TEMP IP 96.1.108.197  - 9/2/2023,
55,KBA,Kirby Lake Auto,Loggernet,Cellular,96.1.108.159,6785,780-773-7363,CR850,,,std 32.03,,,Telus ,2016-08-31,TB3,RMY,Lac La Biche,Lac La Biche,55.3585,-110.645,690,RV55,http://96.1.108.159:8000,,,,
56,KEA,Keg Auto,Loggernet,Cellular,68.182.38.54,6785,587-645-4432,CR850,,,std 32.02,,,Telus ,2018-10-20,TB3,RMY,Mackenzie,Peace River,57.6404,-118.3527,950,GX450,http://68.182.38.54:8000,,,,
57,KMA,Kimiwan Auto,Loggernet,Cellular,96.1.98.209,6785,780-502-6227,CR850,,,std 32.02,,,Telus ,2018-10-02,TB3,RMY,Red Earth,Peace River,55.994,-116.6066,770,GX450,http://96.1.98.209:8000,,,,
58,L3,Dunkirk Auto,Loggernet,Inmarsat,8.34.42.134,6785,-1288,CR1000X,CR1000Xe,CR1000Xe,std 8.01,CR1000X 8.5.0,28-Jul-26,BGAN,1998-01-01,TB4-Kisters,RMY,Fort McMurray,Fort McMurray,56.7683,-112.4878,479,BGAN/Hughes 9502,http://8.34.42.134:8000,"Replaced the Data logger from Globalstar (AuntoCaller) to BGAN (LoggerNet) October 11, 2024)","Upgraded the datalogger to CR1000Xe with new Config/Used the same IP# 8.34.42.134 on July 28, 2026 by Charlene, Tricia, Chase & Devin.",,
59,LGA,Legend Auto,Loggernet,Cellular,8.34.42.172,6785,-1425,CR1000X,CR1000Xe,CR1000Xe,std 8.01,CR1000X 8.5.0,30-Jul-26,Telus ,2019-06-09,TB4-Kisters,RMY,Fort McMurray,Fort McMurray,57.45094,-112.8875085,855,RV55,http://8.34.42.172:8000,"Upgrade modem from CR850 to CR1000X June 15, 2023","Upgraded the datalogger to CR1000Xe with new Config/Used the new BGAN IP# 8.34.42.172 on July 30, 2026 by Charlene, Tricia, Chase & Devin. Old IP: 68.182.39.125 & Old Phone # 587-986-5006",,
60,LMA,LEISMER AUTO,Loggernet,Cellular,68.182.39.157,6785,587-986-9965,CR850,,,std 32.03,,,Telus ,2016-09-08,TB3,RMY,Lac La Biche,Lac La Biche,55.6897,-111.2847,583,RV55,http://68.182.39.157:8000,"Replaced the modem from GX400 to RV55 on Sep 16, 2025 by Jason & crews.",,,
61,LOA,Lovett Auto,Loggernet,Cellular,96.1.97.20,6785,587-598-7582,CR1000X,,,std 7.02,,,Telus ,2020-08-12,TB3,RMY,Edson,Edson,53.0311,-116.662,1476.61,GX450,http://96.1.97.20:8000,New Station Aug 2020,,,
62,MBA,Mayberne Auto,Loggernet,Cellular,96.1.97.224,6785,587-591-1672,CR1000X,,,std 8.01,,,Telus ,2020-10-01,TB3,RMY,Edson,Edson,53.8613,-116.6654,1453,GX450,http://96.1.97.224:8000,New Station October 2020,,,
63,MDA,Medicine Lake Auto,Loggernet,Cellular,68.182.39.127,6785,587-984-1577,CR1000X,,,std 8.01,,,Telus ,2024-05-22,TB4,RMY,Rocky Mountain,Rocky Mountain,52.8166,-114.8743,974,RV55,http://68.182.39.127:8000,"New station installed May 22, 2024",,,
64,MLA,Medicine Lodge Auto,Loggernet,Cellular,96.1.107.246,6785,587-588-6073,CR1000X,,,std 7.02,,,Telus ,2020-08-05,TB3,RMY,Edson,Edson,53.5488,-116.9672,1138,RV55,http://96.1.107.246:8000,"New IP - 96.1.107.246 Replaced April 29, 2024",,,
65,MOA,Moberly Auto,Loggernet,Cellular,96.1.107.126,6785,587-599-7143,CR1000X,,,std 8.01,,,Telus ,2020-08-06,TB3,RMY,Edson,Edson,53.5327,-118.0232,1674,RV55,http://96.1.107.126:8000,New Station Aug 2020,,,
66,MPA,Mountain Park Auto,Loggernet,Inmarsat,8.34.42.52,6785,-1263,CR1000X,,,std 8.01,,,BGAN,2020-08-20,TB3,RMY,Edson,Edson,52.9106,-117.2768,1824,BGAN/Hughes 9502,http://8.34.42.52:8000,New Station Aug 2020,,,
67,MQA,Muskwa Auto,Loggernet,Cellular,173.182.29.240,6785,587-783-8171,CR850,,,std 32.03,,,Telus ,2017-06-20,TB3,RMY,Red Earth,Slave Lake,56.0815,-114.6548,681,RV55,http:/173.182.29.240:8000,"Old IP # 68.182.39.154 Tel#1403-877-2566 -replaced new modem with new IP173.182.29.240 /Tel:587-783-8171- July 22, 2025 ",,,
68,MRA,Marten Mtn. Auto,Loggernet,Cellular/FIRENET,173.181.135.119,6785,N/A,CR1000X,,,std 8.01,,,FireNet,2022-07-06,TB3,RMY,Swan Hills,Slave Lake,55.4709,-114.787,1005,FireNet,http://173.181.135.119:8000,,,,
69,MYA,May RAWS,Loggernet,Cellular,96.1.108.161,6785,587-785-1726,CR850,,,std 03.02,,,Telus ,2016-09-07,TB3,RMY,Lac La Biche,Lac La Biche,55.5623,-112.4049,866,RV55,http://96.1.108.161:8000,"fixed  last June 19, 2020 ",,,
70,NMA,Nose Mountain Auto,Loggernet,Cellular/FIRENET,216.13.164.5,6785,N/A,CR1000X,,,std 8.01,,,FireNet,2020-05-30,TB3/Pluvio,RMY,Grande Prairie,Grande Prairie,54.5634,-119.6315,1510,FireNet,http://216.13.164.5:8000,"Replaced the logger March 31, 2021 /New modem June 2021/ Moved to FireNet - 10/19/2022 Old IP- 8.34.42.119 ",Replaced TEMP IP 173.181.128.220 - 9/2/2023/Old IP 8.34.42.119 & old Tel # +870-772-821-538,"Moved to new location: 54.563400,-119.631500 from old location: 54.551400, -119.580100 on oct 2, 2025 by Andy Johnson & team",
71,NOA,Notikewin Auto,Loggernet,Cellular,96.1.98.227,6785,780-502-6214,CR850,,,std 32.02,,,Telus ,2018-10-23,TB3,RMY,Mackenzie,Peace River,56.869,-118.599,940,GX450,http://96.1.98.227:8000,,,,
72,OLA,Otter Lake Auto,Loggernet,Cellular,96.1.108.130,6785,780-207-5251,CR850,,,std 32.03,,,Telus ,2017-06-20,TB3,RMY,Red Earth,Slave Lake,56.6974,-115.9231,784,GX400,http://96.1.108.130:8000,,,,
73,PAA,Panny Auto,Loggernet,Cellular,96.1.106.128,6785,780-773-5563,CR850,,,std 32.03,,,Telus ,2017-05-01,TB3,RMY,Red Earth,Slave Lake,57.178,-114.614,625,GX400,http://96.1.106.128:8000,,,,
74,PDA,Petitot Auto,Loggernet,Cellular/FIRENET,76.70.216.223,6785,NA,CR1000X,,,std 04.02,,,FireNet,2020-08-25,TB3,RMY,High Level,High Level,59.5226,-119.6076,780,FireNet,http://76.70.216.223:8000,Replaced the modem May 2021,"Replaced the modem June 17, 2022 - Old IP 8.34.42.29",Replaced the modem & port Old IP:96.1.64.207/ New IP & Port: 216.13.164.5:6787,Replaced the modem 4-20-2025 new IP 76.70.216.223
75,POA,Ponton Auto ,Loggernet,Inmarsat,8.34.42.30,6785,-1234,CR1000X,,,std 04.02,,,BGAN,2020-07-31,TB3,RMY,High Level,High Level,58.9319,-116.2207,954,BGAN/Hughes 9502,http://8.34.42.30:8000,New Station Jul 2020,"The datalogger has been rebooted on Oct 30,2025 by Jason & Chase/ They installed the pluvio.",,
76,PSA,Pass Creek  Auto,Loggernet,Cellular,68.182.39.130,6785,587-984-0307,CR850,,,std 32.03,,,Telus ,2014-09-12,TB3,Old Antenna,Swan Hills,Whitecourt,54.2289,-116.84,1080.7,RV55,http://68.182.39.130:8000,"96.1.70.35 Old IP/Phone: 587-985-9931/Replaced the logger/modem by Charlene & team new IP#68.182.39.130-Sep 9, 2024",587-985-9931 - old phone #,PSA antenna has to move to trileg this year (2025),
77,PUA,Puskwaskau Auto,Loggernet,Cellular,96.1.107.254,6785,587-783-9835,CR1000X,,,std 8.01,,,Telus ,2019-10-19,TB3/Pluvio,RMY,Grande Prairie,Grande Prairie,55.2191,-117.4933,912,RV55,http://96.1.107.254:8000,"New modem replaced April 14, 2023 (96.1.108.197 old)",,96.1.108.197 Old modem replaced new logger  new IP 96.1.107.254,
78,PYA,Fort Chipewyan Auto,Loggernet,Cellular,68.182.38.57,6785,587-645-4419,CR850,,,std 32.03,,,Telus ,2019-07-10,TB3,RMY,Fort Chipewyan,Fort McMurray,58.7684,-111.1061,231,GX450,http://68.182.38.57:8000,,,,
79,R2,Ram Falls Auto,Loggernet,Inmarsat,8.34.42.125,6785,-1302,CR1000X,,,std 05.01,,,BGAN,1998-01-01,TB3,RMY,Rocky Mountain,Rocky Mountain,52.0877,-115.8442,1641,BGAN/Hughes 9502,http://8.34.42.125:8000,"Upgraded to Loggernet from Globalstar July 21, 2020",Replaced modem 8/26/2022 to FireNet old IP # 8.34.42.125 (BGAN),"Replaced to BGAN back again with new IP: 8.34.42.125 & old IP: 64.141.125.167 - Nov 15, 2024 by Charlene and team",
80,RBA,Rainbow Lake Auto,Loggernet,Cellular/FIRENET,96.1.99.57,6785,587-599-0979,CR1000X,,,std 08.01,,,FireNet,2020-07-30,TB3,RMY,High Level,High Level,58.3468,-119.7099,540,FireNet,http://96.1.99.57:8000,New Station July 2020,Replaced modem 8/25/2022 by Dylan Rake old IP # 96.1.108.120 to FieNet,,
81,REA,Red Earth Auto,Loggernet,Cellular,68.182.39.151,6785,780-649-4082,CR850,,,std 32.03,,,Telus ,2017-04-26,TB3,RMY,Red Earth,Slave Lake,56.6606,-115.114,627,GX400,http://68.182.39.151:8000,,,,
82,RHA,Round Hill Auto,Loggernet,Cellular,96.1.108.158,6785,N/A,CR850,,,std 32.03,,,Telus ,2016-09-30,TB3/Pluvio,RMY,Lac La Biche,Lac La Biche,55.2992,-111.9892,685,RV55,http://96.1.108.158:8000,Replaced the modem last March 2025 Old IP: 96.1.108.158 by Tricia & Charlene to CR850,587-322-9867 Old phone number,"Moved to new location by Clifton Mckay- Aug 25, 2025 old location 55.29819 -111.98258 elevation 693",
